dataset,model,total_holding_cost,total_stockout_cost,total_cost,service_level,average_inventory,stockout_frequency,stockout_quantity,reorder_count,family,MAE,RMSE,sMAPE,WAPE
m5,ARIMA,162.62529042436697,31.976111173469654,194.60140159783663,0.8957053571428572,5.808046086584535,2.92025,25580.888938775723,10.72,ARIMA/SARIMA,1.132419133461587,2.3169130055878515,139.0169529863503,0.884733305065724
m5,DES,235.35417666100432,33.45691590743189,268.8110925684362,0.8988214285714285,8.405506309321582,2.833,26765.532725945508,15.18975,Smoothing,1.5139422450492246,3.434340559746922,117.83019770213504,1.1828086320359468
m5,LSTM,130.0493361672482,23.141609096920874,153.19094526416907,0.92775,4.644619148830293,2.023,18513.2872775367,15.11975,LSTM,0.9921650518819396,1.9595738886979512,144.24702676566287,0.7751559820778939
m5,Moving Average,136.3092221955832,22.52204490046294,158.83126709604616,0.9304821428571429,4.868186506985115,1.9465,18017.63592037035,10.38025,Baseline,0.9996989795918368,1.3044740866591118,143.50392982214336,1.3100619361164196
m5,Naive,158.257768492446,42.499043712546424,200.7568122049924,0.8716785714285714,5.652063160444499,3.593,33999.23497003714,9.2955,Baseline,1.1843839285714286,1.598320335934255,160.88513480700948,1.4340022124962462
m5,SES,138.3227177692927,20.994148198232295,159.316865967525,0.9357142857142858,4.940097063189025,1.8,16795.318558585837,10.4945,Smoothing,0.9982091589114852,2.0026866542784783,145.0822740868039,0.7798781053893226
m5,Seasonal Naive,170.74009876616654,21.82216567746106,192.56226444362758,0.9375,6.097860670220233,1.75,17457.732541968846,10.14975,Baseline,1.186633928571429,1.673648653701397,152.7220304982085,1.4543997406989633
m5,TES,304.28490854138255,42.395244546808385,346.6801530881909,0.8804375,10.867318162192232,3.34775,33916.195637446704,14.639,Smoothing,1.9222282945387348,4.393579632670024,116.03498998961616,1.5017932334996218
store_item_demand,ARIMA,1076.4865847139467,1244.3428005421579,2320.8293852561046,0.5238928571428572,38.44594945406953,13.331,995474.2404337262,22.20125,ARIMA/SARIMA,11.899612209150355,15.981304508205838,22.98153697630981,0.2080520983029557
store_item_demand,DES,2130.136717016012,649.5163312910548,2779.653048307067,0.7346785714285714,76.07631132200044,7.429,519613.0650328439,22.35675,Smoothing,13.630705085292036,18.44279844226292,25.40282280382389,0.2383184211804044
store_item_demand,LSTM,1158.9898889215585,1086.91726173726,2245.907150658819,0.5298303571428571,41.39249603291281,13.16475,869533.8093898081,23.09875,LSTM,7.884042393764643,10.41966264928357,15.3513282420613,0.1378441191445608
store_item_demand,Moving Average,1276.1191084454267,808.3456135309862,2084.464721976413,0.6171071428571429,45.575682444479526,10.721,646676.4908247889,22.75725,Baseline,9.707639030612246,12.075175886295026,18.32205016707336,0.1795922223724245
store_item_demand,Naive,794.6350883508317,1905.6858208930785,2700.32090924391,0.43208035714285714,28.379824583958275,15.90175,1524548.656714463,20.4195,Baseline,16.291205357142857,18.94748071489096,33.15893957123161,0.2931277134999516
store_item_demand,SARIMA,1233.0167036428386,942.3035350900766,2175.320238732915,0.5910714285714286,44.03631084438709,11.45,150768.56561441228,22.7775,ARIMA/SARIMA,8.305664246791164,10.913527949320748,17.456956874205716,0.1532079752887752
store_item_demand,SES,1155.6059161383096,958.1816494702964,2113.7875656086057,0.5612946428571429,41.27163986208248,12.28375,766545.3195762371,22.8535,Smoothing,9.921572805557288,13.41220739219244,18.61994291575417,0.1734681773137482
store_item_demand,Seasonal Naive,1281.0701652889375,847.0494323306125,2128.11959761955,0.6195625,45.752505903176335,10.65225,677639.54586449,23.1045,Baseline,9.451241071428573,11.641758075523969,19.15306539862856,0.1817152360497591
store_item_demand,TES,2485.690732921002,934.2012289881721,3419.8919619091744,0.6906785714285715,88.77466903289294,8.661,747360.9831905377,22.057,Smoothing,16.86847596488286,23.38776654362276,33.662700947345144,0.2949274109090853
