dataset,model,total_holding_cost,total_stockout_cost,total_cost,service_level,average_inventory,stockout_frequency,stockout_quantity,reorder_count,family,MAE,RMSE,sMAPE,WAPE,bias
m5,LSTM,130.03685376160914,22.795822446025536,152.83267620763468,0.9282767857142857,4.644173348628898,2.00825,18236.65795682043,15.1425,LSTM,0.9891627067008956,1.949083682312273,144.24207838554972,0.7728103180949358,0.07290093021324487
m5,Moving Average,136.30175988648992,22.523726284565917,158.82548617105584,0.9304821428571429,4.867919995946068,1.9465,18018.98102765273,10.3765,Baseline,0.9996989795918368,1.3044740866591118,143.50392982214336,1.3100619361164196,0.039562500000000014
m5,SES,138.3151357258059,20.995750219197898,159.3108859450038,0.9356964285714285,4.939826275921639,1.8005,16796.60017535832,10.5,Smoothing,0.9982091589114852,2.0026866542784783,145.0822740868039,0.7798781053893226,0.016822951082989094
m5,SBA,128.38959585266778,32.26773927890708,160.65733513157485,0.9091875,4.585342709023849,2.54275,25814.191423125663,10.38925,Croston-family,1.0664753892456833,2.121016138228588,148.07638911469127,0.8332129580099453,0.1470248636417092
m5,TSB,143.53875287692549,21.589754671436662,165.12850754836217,0.9319553571428572,5.126384031318768,1.90525,17271.80373714933,10.3795,Croston-family,1.0097386346789403,2.0148885871665843,146.31189380581674,0.7888858224968822,-0.0023383705950108997
m5,CROSTON,154.53648100782658,20.276829363527348,174.81331037135394,0.9391160714285715,5.5191600359938064,1.70475,16221.463490821878,10.56375,Croston-family,1.0821013948682834,2.107916437457005,143.91634859010097,0.8454212006923156,-0.07361471494721844
m5,Seasonal Naive,170.72949476410218,21.82373098677761,192.5532257508798,0.9375,6.0974819558607924,1.75,17458.984789422087,10.15675,Baseline,1.186633928571429,1.673648653701397,152.7220304982085,1.4543997406989633,0.03363392857142857
m5,ARIMA,162.6183294448006,31.978140645268972,194.59647009006957,0.8957053571428572,5.80779748017145,2.92025,25582.512516215178,10.7175,ARIMA/SARIMA,1.1324191334615867,2.316913005587851,139.01695298635028,0.8847333050657238,-0.01480558161646219
m5,Naive,158.25129577671598,42.5014260301248,200.75272180684075,0.8716696428571429,5.651831992025571,3.59325,34001.140824099835,9.29325,Baseline,1.1843839285714286,1.598320335934255,160.88513480700948,1.4340022124962462,0.08795535714285714
m5,DES,235.34601702390557,33.458910911648026,268.8049279355536,0.8988214285714285,8.405214893710914,2.833,26767.12872931842,15.19,Smoothing,1.5139422450492246,3.434340559746922,117.83019770213508,1.1828086320359468,-0.4119702060599262
m5,TES,304.27561790289775,42.3974483577094,346.67306626060713,0.8804375,10.86698635367492,3.34775,33917.95868616752,14.638,Smoothing,1.9222282945387348,4.393579632670024,116.03498998961616,1.5017932334996218,-0.6909783860661142
store_item_demand,Moving Average,1276.1028404951226,808.3985426825861,2084.5013831777087,0.6170803571428571,45.57510144625437,10.72175,646718.8341460689,22.75775,Baseline,9.707639030612246,12.075175886295026,18.32205016707336,0.1795922223724245,4.2395625
store_item_demand,SES,1155.5955501354028,958.2383934619124,2113.8339435973153,0.5612678571428571,41.27126964769296,12.2845,766590.7147695299,22.8535,Smoothing,9.921572805557288,13.41220739219244,18.61994291575417,0.1734681773137482,5.875792281643501
store_item_demand,Seasonal Naive,1281.053625831591,847.0987367410764,2128.1523625726677,0.6195625,45.75191520827111,10.65225,677678.9893928611,23.1015,Baseline,9.451241071428573,11.641758075523969,19.15306539862856,0.1817152360497591,4.2395625
store_item_demand,LSTM,1157.7036535394614,1089.759829697387,2247.4634832368483,0.5306964285714285,41.346559054980766,13.1405,871807.8637579096,23.15,LSTM,7.873163887666254,10.41878489703507,15.28791861515997,0.1376539200035811,5.373918103515032
store_item_demand,SARIMA,1307.777349469487,974.5290813012059,2282.3064307706927,0.5919107142857143,46.70633390962454,11.4265,779623.2650409647,22.7815,ARIMA/SARIMA,8.44640110260398,11.094366534204738,16.85478181493792,0.1476763647099243,3.898575983759147
store_item_demand,ARIMA,1076.4753402180208,1244.3989313025195,2320.874271520541,0.5238928571428572,38.44554786492932,13.331,995519.1450420157,22.20125,ARIMA/SARIMA,11.899612209150355,15.981304508205838,22.98153697630981,0.2080520983029557,8.461381028844341
store_item_demand,Naive,794.6271576566223,1905.743449980284,2700.3706076369062,0.4320625,28.37954134487937,15.90225,1524594.7599842271,20.41975,Baseline,16.291205357142857,18.94748071489096,33.15893957123161,0.2931277134999516,14.869598214285714
store_item_demand,DES,2130.0889190203306,649.5510550604864,2779.639974080817,0.7346517857142857,76.07460425072608,7.42975,519640.8440483891,22.35675,Smoothing,13.630705085292034,18.44279844226292,25.40282280382389,0.2383184211804044,-1.5832958704196596
store_item_demand,TES,2485.6452619277366,934.2342310149478,3419.8794929426845,0.6906696428571429,88.77304506884772,8.66125,747387.3848119582,22.057,Smoothing,16.86847596488286,23.38776654362276,33.66270094734514,0.2949274109090853,-1.9062321811720475
