dataset,model,MAE,RMSE,sMAPE,WAPE,MASE,RMSSE,n_series,n_nan_mase,family,n
m5,Moving Average,0.9996989795918368,1.3044740866591118,143.50392982214336,1.3100619361164196,1.345820880551606,0.8646095481489776,500.0,0.0,Baseline,
m5,Naive,1.1843839285714286,1.598320335934255,160.88513480700948,1.4340022124962462,1.5463402218584374,1.1229060078510815,500.0,0.0,Baseline,
m5,Seasonal Naive,1.186633928571429,1.673648653701397,152.7220304982085,1.4543997406989633,1.526171611719772,1.1392108272734889,500.0,0.0,Baseline,
store_item_demand,Moving Average,9.707639030612246,12.075175886295026,18.32205016707336,0.1795922223724245,1.1912617317756553,1.181532507574064,500.0,0.0,Baseline,
store_item_demand,Naive,16.291205357142857,18.94748071489096,33.15893957123161,0.2931277134999516,1.971050178021916,1.8699258247345136,500.0,0.0,Baseline,
store_item_demand,Seasonal Naive,9.451241071428573,11.641758075523969,19.15306539862856,0.1817152360497591,1.182502561828764,1.1668907354671307,500.0,0.0,Baseline,
m5,DES,1.5139422450492246,3.434340559746922,117.83019770213508,1.1828086320359468,1.986584782809379,1.3271705259897228,500.0,0.0,Smoothing,
m5,SES,0.9982091589114852,2.0026866542784783,145.0822740868039,0.7798781053893226,1.3507988600320069,0.8581639298255833,500.0,0.0,Smoothing,
m5,TES,1.9222282945387348,4.393579632670024,116.03498998961616,1.5017932334996218,2.5994366183795203,1.846045236481175,500.0,0.0,Smoothing,
store_item_demand,DES,13.630705085292034,18.44279844226292,25.40282280382389,0.2383184211804044,1.68075389078724,1.6739838834899696,500.0,0.0,Smoothing,
store_item_demand,SES,9.921572805557288,13.41220739219244,18.61994291575417,0.1734681773137482,1.2135690650473938,1.2093759950610172,500.0,0.0,Smoothing,
store_item_demand,TES,16.86847596488286,23.38776654362276,33.66270094734514,0.2949274109090853,2.111143074703332,2.156089303703689,500.0,0.0,Smoothing,
m5,ARIMA,1.1324191334615867,2.316913005587851,139.01695298635028,0.8847333050657238,1.5051923706508776,1.0490197521223577,,,ARIMA/SARIMA,112000.0
store_item_demand,SARIMA,8.44640110260398,11.094366534204738,16.85478181493792,0.1476763647099243,1.0545579335495316,1.0401424197415323,,,ARIMA/SARIMA,112000.0
store_item_demand,ARIMA,11.899612209150355,15.981304508205838,22.98153697630981,0.2080520983029557,1.4517473589540248,1.4315244741600406,,,ARIMA/SARIMA,112000.0
m5,LSTM,0.9891627067008956,1.949083682312273,144.24207838554972,0.7728103180949358,1.316200479227033,0.8458260167548806,500.0,0.0,LSTM,112000.0
store_item_demand,LSTM,7.873163887666254,10.41878489703507,15.28791861515997,0.1376539200035811,0.9775542402168718,0.9708805237211636,500.0,0.0,LSTM,112000.0
m5,TSB,1.0097386346789403,2.0148885871665843,146.31189380581674,0.7888858224968822,1.3687549256397291,0.8843517618174865,500.0,0.0,Croston-family,112000.0
m5,SBA,1.0664753892456833,2.121016138228588,148.07638911469127,0.8332129580099453,1.4128136078824314,0.8891953074358538,500.0,0.0,Croston-family,112000.0
m5,CROSTON,1.0821013948682834,2.107916437457005,143.91634859010097,0.8454212006923156,1.4167913247690758,0.8675966165241813,500.0,0.0,Croston-family,112000.0
