metric_id,dataset,model,metric,value,units,population,source_file,source_column,status,report_section,destination,notes
FC-m5-Moving Average-MAE,m5,Moving Average,MAE,0.999699,units,500sx8ox28d=112000,06_results/baselines/metrics_by_model.csv,MAE,FINAL,4.2/4.3,T-03,
FC-m5-Moving Average-RMSE,m5,Moving Average,RMSE,1.304474,units,500sx8ox28d=112000,06_results/baselines/metrics_by_model.csv,RMSE,FINAL,4.2/4.3,T-03,
FC-m5-Moving Average-sMAPE,m5,Moving Average,sMAPE,143.50393,pct,500sx8ox28d=112000,06_results/baselines/metrics_by_model.csv,sMAPE,FINAL,4.2/4.3,T-03,
FC-m5-Moving Average-WAPE,m5,Moving Average,WAPE,1.310062,ratio,500sx8ox28d=112000,06_results/baselines/metrics_by_model.csv,WAPE,FINAL,4.2/4.3,T-03,"per-series-mean; WAPE honest-NaN, no epsilon"
FC-m5-Naive-MAE,m5,Naive,MAE,1.184384,units,500sx8ox28d=112000,06_results/baselines/metrics_by_model.csv,MAE,FINAL,4.2/4.3,T-03,
FC-m5-Naive-RMSE,m5,Naive,RMSE,1.59832,units,500sx8ox28d=112000,06_results/baselines/metrics_by_model.csv,RMSE,FINAL,4.2/4.3,T-03,
FC-m5-Naive-sMAPE,m5,Naive,sMAPE,160.885135,pct,500sx8ox28d=112000,06_results/baselines/metrics_by_model.csv,sMAPE,FINAL,4.2/4.3,T-03,
FC-m5-Naive-WAPE,m5,Naive,WAPE,1.434002,ratio,500sx8ox28d=112000,06_results/baselines/metrics_by_model.csv,WAPE,FINAL,4.2/4.3,T-03,"per-series-mean; WAPE honest-NaN, no epsilon"
FC-m5-Seasonal Naive-MAE,m5,Seasonal Naive,MAE,1.186634,units,500sx8ox28d=112000,06_results/baselines/metrics_by_model.csv,MAE,FINAL,4.2/4.3,T-03,
FC-m5-Seasonal Naive-RMSE,m5,Seasonal Naive,RMSE,1.673649,units,500sx8ox28d=112000,06_results/baselines/metrics_by_model.csv,RMSE,FINAL,4.2/4.3,T-03,
FC-m5-Seasonal Naive-sMAPE,m5,Seasonal Naive,sMAPE,152.72203,pct,500sx8ox28d=112000,06_results/baselines/metrics_by_model.csv,sMAPE,FINAL,4.2/4.3,T-03,
FC-m5-Seasonal Naive-WAPE,m5,Seasonal Naive,WAPE,1.4544,ratio,500sx8ox28d=112000,06_results/baselines/metrics_by_model.csv,WAPE,FINAL,4.2/4.3,T-03,"per-series-mean; WAPE honest-NaN, no epsilon"
FC-store_item_demand-Moving Average-MAE,store_item_demand,Moving Average,MAE,9.707639,units,500sx8ox28d=112000,06_results/baselines/metrics_by_model.csv,MAE,FINAL,4.2/4.3,T-04,
FC-store_item_demand-Moving Average-RMSE,store_item_demand,Moving Average,RMSE,12.075176,units,500sx8ox28d=112000,06_results/baselines/metrics_by_model.csv,RMSE,FINAL,4.2/4.3,T-04,
FC-store_item_demand-Moving Average-sMAPE,store_item_demand,Moving Average,sMAPE,18.32205,pct,500sx8ox28d=112000,06_results/baselines/metrics_by_model.csv,sMAPE,FINAL,4.2/4.3,T-04,
FC-store_item_demand-Moving Average-WAPE,store_item_demand,Moving Average,WAPE,0.179592,ratio,500sx8ox28d=112000,06_results/baselines/metrics_by_model.csv,WAPE,FINAL,4.2/4.3,T-04,"per-series-mean; WAPE honest-NaN, no epsilon"
FC-store_item_demand-Naive-MAE,store_item_demand,Naive,MAE,16.291205,units,500sx8ox28d=112000,06_results/baselines/metrics_by_model.csv,MAE,FINAL,4.2/4.3,T-04,
FC-store_item_demand-Naive-RMSE,store_item_demand,Naive,RMSE,18.947481,units,500sx8ox28d=112000,06_results/baselines/metrics_by_model.csv,RMSE,FINAL,4.2/4.3,T-04,
FC-store_item_demand-Naive-sMAPE,store_item_demand,Naive,sMAPE,33.15894,pct,500sx8ox28d=112000,06_results/baselines/metrics_by_model.csv,sMAPE,FINAL,4.2/4.3,T-04,
FC-store_item_demand-Naive-WAPE,store_item_demand,Naive,WAPE,0.293128,ratio,500sx8ox28d=112000,06_results/baselines/metrics_by_model.csv,WAPE,FINAL,4.2/4.3,T-04,"per-series-mean; WAPE honest-NaN, no epsilon"
FC-store_item_demand-Seasonal Naive-MAE,store_item_demand,Seasonal Naive,MAE,9.451241,units,500sx8ox28d=112000,06_results/baselines/metrics_by_model.csv,MAE,FINAL,4.2/4.3,T-04,
FC-store_item_demand-Seasonal Naive-RMSE,store_item_demand,Seasonal Naive,RMSE,11.641758,units,500sx8ox28d=112000,06_results/baselines/metrics_by_model.csv,RMSE,FINAL,4.2/4.3,T-04,
FC-store_item_demand-Seasonal Naive-sMAPE,store_item_demand,Seasonal Naive,sMAPE,19.153065,pct,500sx8ox28d=112000,06_results/baselines/metrics_by_model.csv,sMAPE,FINAL,4.2/4.3,T-04,
FC-store_item_demand-Seasonal Naive-WAPE,store_item_demand,Seasonal Naive,WAPE,0.181715,ratio,500sx8ox28d=112000,06_results/baselines/metrics_by_model.csv,WAPE,FINAL,4.2/4.3,T-04,"per-series-mean; WAPE honest-NaN, no epsilon"
FC-m5-DES-MAE,m5,DES,MAE,1.513942,units,500sx8ox28d=112000,06_results/exponential_smoothing/metrics_by_model.csv,MAE,FINAL,4.2/4.3,T-03,
FC-m5-DES-RMSE,m5,DES,RMSE,3.434341,units,500sx8ox28d=112000,06_results/exponential_smoothing/metrics_by_model.csv,RMSE,FINAL,4.2/4.3,T-03,
FC-m5-DES-sMAPE,m5,DES,sMAPE,117.830198,pct,500sx8ox28d=112000,06_results/exponential_smoothing/metrics_by_model.csv,sMAPE,FINAL,4.2/4.3,T-03,
FC-m5-DES-WAPE,m5,DES,WAPE,1.182809,ratio,500sx8ox28d=112000,06_results/exponential_smoothing/metrics_by_model.csv,WAPE,FINAL,4.2/4.3,T-03,"per-series-mean; WAPE honest-NaN, no epsilon"
FC-m5-SES-MAE,m5,SES,MAE,0.998209,units,500sx8ox28d=112000,06_results/exponential_smoothing/metrics_by_model.csv,MAE,FINAL,4.2/4.3,T-03,
