dataset,series_id,origin_id,origin_date,forecast_date,actual
m5,FOODS_1_098_CA_3_evaluation,1,2016-03-01,2016-03-01,2.0
m5,FOODS_1_098_CA_3_evaluation,1,2016-03-01,2016-03-02,0.0
m5,FOODS_1_098_CA_3_evaluation,1,2016-03-01,2016-03-03,1.0
m5,FOODS_1_098_CA_3_evaluation,1,2016-03-01,2016-03-04,0.0
m5,FOODS_1_098_CA_3_evaluation,1,2016-03-01,2016-03-05,0.0
m5,FOODS_1_098_CA_3_evaluation,1,2016-03-01,2016-03-06,0.0
m5,FOODS_1_098_CA_3_evaluation,1,2016-03-01,2016-03-07,0.0
m5,FOODS_1_098_CA_3_evaluation,1,2016-03-01,2016-03-08,0.0
m5,FOODS_1_098_CA_3_evaluation,1,2016-03-01,2016-03-09,0.0
m5,FOODS_1_098_CA_3_evaluation,1,2016-03-01,2016-03-10,0.0
m5,FOODS_1_098_CA_3_evaluation,1,2016-03-01,2016-03-11,2.0
m5,FOODS_1_098_CA_3_evaluation,1,2016-03-01,2016-03-12,0.0
m5,FOODS_1_098_CA_3_evaluation,1,2016-03-01,2016-03-13,0.0
m5,FOODS_1_098_CA_3_evaluation,1,2016-03-01,2016-03-14,1.0
m5,FOODS_1_098_CA_3_evaluation,1,2016-03-01,2016-03-15,2.0
m5,FOODS_1_098_CA_3_evaluation,1,2016-03-01,2016-03-16,1.0
m5,FOODS_1_098_CA_3_evaluation,1,2016-03-01,2016-03-17,0.0
m5,FOODS_1_098_CA_3_evaluation,1,2016-03-01,2016-03-18,0.0
m5,FOODS_1_098_CA_3_evaluation,1,2016-03-01,2016-03-19,0.0
m5,FOODS_1_098_CA_3_evaluation,1,2016-03-01,2016-03-20,0.0
m5,FOODS_1_098_CA_3_evaluation,1,2016-03-01,2016-03-21,1.0
m5,FOODS_1_098_CA_3_evaluation,1,2016-03-01,2016-03-22,0.0
m5,FOODS_1_098_CA_3_evaluation,1,2016-03-01,2016-03-23,0.0
m5,FOODS_1_098_CA_3_evaluation,1,2016-03-01,2016-03-24,0.0
m5,FOODS_1_098_CA_3_evaluation,1,2016-03-01,2016-03-25,0.0
m5,FOODS_1_098_CA_3_evaluation,1,2016-03-01,2016-03-26,0.0
m5,FOODS_1_098_CA_3_evaluation,1,2016-03-01,2016-03-27,0.0
m5,FOODS_1_098_CA_3_evaluation,1,2016-03-01,2016-03-28,0.0
m5,FOODS_1_133_TX_3_evaluation,1,2016-03-01,2016-03-01,0.0
m5,FOODS_1_133_TX_3_evaluation,1,2016-03-01,2016-03-02,0.0
m5,FOODS_1_133_TX_3_evaluation,1,2016-03-01,2016-03-03,3.0
m5,FOODS_1_133_TX_3_evaluation,1,2016-03-01,2016-03-04,1.0
m5,FOODS_1_133_TX_3_evaluation,1,2016-03-01,2016-03-05,0.0
m5,FOODS_1_133_TX_3_evaluation,1,2016-03-01,2016-03-06,0.0
m5,FOODS_1_133_TX_3_evaluation,1,2016-03-01,2016-03-07,1.0
m5,FOODS_1_133_TX_3_evaluation,1,2016-03-01,2016-03-08,1.0
m5,FOODS_1_133_TX_3_evaluation,1,2016-03-01,2016-03-09,0.0
m5,FOODS_1_133_TX_3_evaluation,1,2016-03-01,2016-03-10,0.0
m5,FOODS_1_133_TX_3_evaluation,1,2016-03-01,2016-03-11,0.0
m5,FOODS_1_133_TX_3_evaluation,1,2016-03-01,2016-03-12,0.0
m5,FOODS_1_133_TX_3_evaluation,1,2016-03-01,2016-03-13,0.0
m5,FOODS_1_133_TX_3_evaluation,1,2016-03-01,2016-03-14,0.0
m5,FOODS_1_133_TX_3_evaluation,1,2016-03-01,2016-03-15,0.0
m5,FOODS_1_133_TX_3_evaluation,1,2016-03-01,2016-03-16,0.0
m5,FOODS_1_133_TX_3_evaluation,1,2016-03-01,2016-03-17,0.0
m5,FOODS_1_133_TX_3_evaluation,1,2016-03-01,2016-03-18,0.0
