dataset,model,lead_time,service_target,z,P,H,total_cost,holding_cost,shortage_cost,service_level,stockout_rate,avg_inventory,reorder_count,n_instances
m5,ARIMA,3,0.9,1.2816,3,1,96.94983135438122,72.87132030785617,24.07851104652504,0.8543839285714284,0.1456160714285714,2.602547153852006,12.11025,4000
m5,CROSTON,3,0.9,1.2816,3,1,90.2323488399742,70.41711614918395,19.815232690790232,0.8850982142857142,0.1149017857142857,2.514897005327998,11.5425,4000
m5,DES,3,0.9,1.2816,3,1,131.56916472867343,108.05692938543665,23.512235343236817,0.8656428571428572,0.1343571428571428,3.85917604947988,17.35575,4000
m5,LSTM,3,0.9,1.2816,3,1,82.33910003162444,60.8362151735836,21.502884858040847,0.8690714285714286,0.1309285714285714,2.172721970485129,16.74375,4000
m5,Moving Average,3,0.9,1.2816,3,1,83.67703575071671,62.9446672396808,20.7323685110359,0.8792857142857142,0.1207142857142857,2.2480238299886,11.422,4000
m5,Naive,3,0.9,1.2816,3,1,100.4463359694503,71.09399830693252,29.35233766251777,0.8382142857142857,0.1617857142857142,2.5390713681047328,10.62625,4000
m5,SBA,3,0.9,1.2816,3,1,86.30125330204106,60.091721134053614,26.20953216798744,0.8580803571428571,0.1419196428571428,2.146132897644772,11.38325,4000
m5,SES,3,0.9,1.2816,3,1,83.7718007363986,63.77897417487124,19.992826561527348,0.8825892857142855,0.1174107142857142,2.2778205062454013,11.47975,4000
m5,Seasonal Naive,3,0.9,1.2816,3,1,113.21620660535136,94.95293834311384,18.263268262237546,0.9040803571428572,0.0959196428571428,3.3911763693969226,10.03575,4000
m5,TES,3,0.9,1.2816,3,1,171.0538497318714,143.61962692392024,27.434222807951176,0.8549017857142857,0.1450982142857143,5.129272390140009,14.9285,4000
m5,TSB,3,0.9,1.2816,3,1,85.68584763021387,65.70430657952677,19.98154105068711,0.8820357142857144,0.1179642857142857,2.346582377840241,11.398,4000
store_item_demand,ARIMA,3,0.9,1.2816,3,1,1444.8590707591227,192.43435840746503,1252.424712351658,0.2729017857142857,0.7270982142857143,6.872655657409466,26.41725,4000
store_item_demand,DES,3,0.9,1.2816,3,1,1236.5385941158622,454.8012392372575,781.7373548786048,0.4919196428571428,0.5080803571428572,16.242901401330624,26.29225,4000
store_item_demand,LSTM,3,0.9,1.2816,3,1,1386.465236666787,201.54602608664945,1184.9192105801376,0.3066607142857142,0.6933392857142857,7.198072360237479,26.0205,4000
